stockid,assessid,stocklong,bioid,biovalue,
BOCACCSPCOAST,PFMC-BOCACCSPCOAST-1930-2009-CHING,Bocaccio Southern Pacific Coast,B0-MT,44070,
BOCACCSPCOAST,PFMC-BOCACCSPCOAST-1930-2009-CHING,Bocaccio Southern Pacific Coast,Fmsy-1/yr,0.08,
BOCACCSPCOAST,PFMC-BOCACCSPCOAST-1930-2009-CHING,Bocaccio Southern Pacific Coast,MSY-MT,1270,
CABEZNCAL,PFMC-CABEZNCAL-1930-2009-CHING,Cabezon Northern California,B0-MT,1835,
CABEZNCAL,PFMC-CABEZNCAL-1930-2009-CHING,Cabezon Northern California,Fmsy-1/yr,0.18,
CABEZNCAL,PFMC-CABEZNCAL-1930-2009-CHING,Cabezon Northern California,MSY-MT,129,
CABEZNCAL,PFMC-CABEZNCAL-1930-2009-CHING,Cabezon Northern California,SSBmsy-MT,257,
CABEZSCAL,PFMC-CABEZSCAL-1930-2009-CHING,Cabezon Southern California,B0-MT,470,
CABEZSCAL,PFMC-CABEZSCAL-1930-2009-CHING,Cabezon Southern California,Fmsy-1/yr,0.17,
CABEZSCAL,PFMC-CABEZSCAL-1930-2009-CHING,Cabezon Southern California,MSY-MT,30,
CABEZSCAL,PFMC-CABEZSCAL-1930-2009-CHING,Cabezon Southern California,SSBmsy-MT,67,
COWCODSCAL,PFMC-COWCODSCAL-1930-2009-CHING,Cowcod Southern California,B0-MT,4643,
,PFMC-COWCODSCAL-1930-2009-CHING,Cowcod Southern California,SSBmsy-MT,873,
COWCODSCAL,PFMC-COWCODSCAL-1930-2009-CHING,Cowcod Southern California,Fmsy-1/yr,0.03,
GRNSTROCKPCOAST,PFMC-GRNSTROCKPCOAST-1916-2009-STANTON,Greenstriped rockfish Pacific Coast,B0-MT,33526,
GRNSTROCKPCOAST,PFMC-GRNSTROCKPCOAST-1916-2009-STANTON,Greenstriped rockfish Pacific Coast,MSY-MT,803,
GRNSTROCKPCOAST,PFMC-GRNSTROCKPCOAST-1916-2009-STANTON,Greenstriped rockfish Pacific Coast,SSBmsy-eggs,2039000000,
GRNSTROCKPCOAST,PFMC-GRNSTROCKPCOAST-1916-2009-STANTON,Greenstriped rockfish Pacific Coast,Fmsy-1/yr,0.0682,
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2011-CHING,Petrale sole Pacific Coast,B0-MT,41352,
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2011-CHING,Petrale sole Pacific Coast,Fmsy-1/yr,0.22,
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2011-CHING,Petrale sole Pacific Coast,MSY-MT,2588,
PSOLEPCOAST,PFMC-PSOLEPCOAST-1930-2011-CHING,Petrale sole Pacific Coast,SSBmsy-MT,5805,
WINFLOUNDRI,RIDEM-WINFLOUNDRI-1959-2007-COLLIE,Winter flounder Rhode Island,Bmsy-MT,5478,
WINFLOUNDRI,RIDEM-WINFLOUNDRI-1959-2007-COLLIE,Winter flounder Rhode Island,Fmsy-1/yr,0.266,
CALSCORPSCAL,SWFSC-CALSCORPSCAL-1990-2005-STANTON,California scorpionfish Southern California,B0-MT,2007,
CALSCORPSCAL,SWFSC-CALSCORPSCAL-1990-2005-STANTON,California scorpionfish Southern California,MSY-MT,127,
CALSCORPSCAL,SWFSC-CALSCORPSCAL-1990-2005-STANTON,California scorpionfish Southern California,Fmsy-1/yr,0.161,
CMACKPCOAST,SWFSC-CMACKPCOAST-1929-2008-PINSKY,Pacific chub mackerel Pacific Coast,MSY-MT,23048.2,
CMACKPCOAST,SWFSC-CMACKPCOAST-1929-2008-PINSKY,Pacific chub mackerel Pacific Coast,MSY-MT,51772,
CMACKPCOAST,SWFSC-CMACKPCOAST-1929-2008-PINSKY,Pacific chub mackerel Pacific Coast,SSBmsy-MT,122357,
DSOLEPCOAST,SWFSC-DSOLEPCOAST-1910-2011-STACHURA,Dover sole Pacific Coast,B0-MT,821271,
DSOLEPCOAST,SWFSC-DSOLEPCOAST-1910-2011-STACHURA,Dover sole Pacific Coast,Fmsy-1/yr,0.131,
DSOLEPCOAST,SWFSC-DSOLEPCOAST-1910-2011-STACHURA,Dover sole Pacific Coast,MSY-MT,34757,
DSOLEPCOAST,SWFSC-DSOLEPCOAST-1910-2011-STACHURA,Dover sole Pacific Coast,SSBmsy-MT,114398,
GOPHERSPCOAST,SWFSC-GOPHERSPCOAST-1965-2005-STANTON,Gopher rockfish Southern Pacific Coast,B0-MT,2440,
GOPHERSPCOAST,SWFSC-GOPHERSPCOAST-1965-2005-STANTON,Gopher rockfish Southern Pacific Coast,MSY-MT,101,
GOPHERSPCOAST,SWFSC-GOPHERSPCOAST-1965-2005-STANTON,Gopher rockfish Southern Pacific Coast,SSBmsy-MT,798,
GOPHERSPCOAST,SWFSC-GOPHERSPCOAST-1965-2005-STANTON,Gopher rockfish Southern Pacific Coast,Umsy-ratio,0.103,
GRSPROCKNCAL,SWFSC-GRSPROCKNCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast North,B0-MT,3160,
GRSPROCKNCAL,SWFSC-GRSPROCKNCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast North,Fmsy-1/yr,0.07,
GRSPROCKNCAL,SWFSC-GRSPROCKNCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast North,SSBmsy-eggs,5.64E+11,
GRSPROCKNCAL,SWFSC-GRSPROCKNCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast North,MSY-MT,58.8,
GRSPROCKNCAL,SWFSC-GRSPROCKNCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast North,SSBmsy-MT,134,
GRSPROCKSCAL,SWFSC-GRSPROCKSCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast South,B0-MT,4331,
GRSPROCKSCAL,SWFSC-GRSPROCKSCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast South,Fmsy-1/yr,0.06,
GRSPROCKSCAL,SWFSC-GRSPROCKSCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast South,SSBmsy-eggs,7.94E+11,
GRSPROCKSCAL,SWFSC-GRSPROCKSCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast South,MSY-MT,55.9,
GRSPROCKSCAL,SWFSC-GRSPROCKSCAL-1916-2010-STACHURA,Greenspotted rockfish Pacific Coast South,SSBmsy-MT,180,
SARDPCOAST,SWFSC-SARDPCOAST-1981-2007-PINSKY,Pacific sardine Pacific Coast,MSY-MT,250000,
SARDPCOAST,SWFSC-SARDPCOAST-1981-2007-PINSKY,Pacific sardine Pacific Coast,Fmsy-1/yr,0.15,
SARDPCOAST,SWFSC-SARDPCOAST-1981-2007-PINSKY,Pacific sardine Pacific Coast,SSBmsy-MT,988385,
SBELLYROCKPCOAST,SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH,Shortbelly rockfish Pacific Coast,B0-MT,98400,
STFLOUNNPCOAST,SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Starry flounder Northern Pacific Coast,B0-MT,12102,
STFLOUNNPCOAST,SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Starry flounder Northern Pacific Coast,MSY-MT,818,
STFLOUNNPCOAST,SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Starry flounder Northern Pacific Coast,SSBmsy-MT,1930,
STFLOUNNPCOAST,SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Starry flounder Northern Pacific Coast,Umsy-ratio,0.169,
STFLOUNSPCOAST,SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Starry flounder Southern Pacific Coast,B0-MT,5854,
STFLOUNSPCOAST,SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Starry flounder Southern Pacific Coast,MSY-MT,396,
STFLOUNSPCOAST,SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Starry flounder Southern Pacific Coast,SSBmsy-MT,934,
STFLOUNSPCOAST,SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Starry flounder Southern Pacific Coast,Umsy-ratio,0.169,
